,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,Body Type,CO2,Colour,MPG,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Interior Trim,Euro Status
97,Arteon,Diesel,2.0L,Automatic,"52,548 miles",5,148 bhp,2018 (18),Saloon,116 g/km,Manganese Grey Metallic,52.3,1.0,Euro 6,£199,"£20,600",28-05-2022,,
98,Tiguan,Diesel,2.0L,Automatic,"58,808 miles",5,148 bhp,2018 (68),Estate,130 g/km,WHITE SILVER,46.3,1.0,Euro 6,£199,"£20,500",11-10-2022,,
99,Golf,Petrol,2.0L,Manual,"30,718 miles",5,298 bhp,2016 (16),Hatchback,165 g/km,BLACK,39.8,2.0,Euro 5,£199,"£20,500",29-12-2021,,
100,Polo,Petrol,2.0L,Automatic,"9,981 miles",5,197 bhp,2019 (69),Hatchback,136 g/km,GREY,39.8,1.0,Euro 6,£199,"£20,500",,,
101,Polo,Petrol,2.0L,Automatic,"14,205 miles",5,197 bhp,2019 (69),Hatchback,136 g/km,WHITE,39.8,1.0,Euro 6,£199,"£20,300",,,
102,Passat,Petrol,1.5L,Manual,"33,485 miles",5,148 bhp,2019 (68),Estate,124 g/km,Manganese Grey Metallic,43.5,1.0,Euro 6,£199,"£20,200",,,
103,Golf,Petrol,1.5L,Automatic,"26,685 miles",5,148 bhp,2019 (69),Hatchback,116 g/km,BLACK,44.8,1.0,Euro 6,£199,"£20,100",,,
104,Golf,Diesel,2.0L,Automatic,"48,184 miles",5,182 bhp,2017 (67),Hatchback,129 g/km,INDIUM GREY,57.7,2.0,Euro 6,£199,"£20,000",29-09-2022,,
105,Golf,Diesel,2.0L,Automatic,"44,419 miles",3,182 bhp,2018 (67),Hatchback,129 g/km,DEEP BLACK PEARL,57.7,1.0,Euro 6,£199,"£20,000",25-01-2022,,
106,Polo,Petrol,2.0L,Automatic,"16,373 miles",5,197 bhp,2019 (19),Hatchback,136 g/km,BLACK,39.8,1.0,Euro 6,£199,"£20,000",,,
107,T-Roc,Petrol,1.0L,Manual,"14,616 miles",5,113 bhp,2018 (68),Hatchback,119 g/km,WHITE,44.1,1.0,Euro 6,£199,"£20,000",27-09-2022,,
108,Tiguan,Diesel,2.0L,Manual,"43,975 miles",5,148 bhp,2018 (68),Estate,124 g/km,INDIUM GREY,47.9,1.0,Euro 6,£199,"£20,000",12-10-2022,,
