,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,MOT Expires,Euro Status
0,GLC,Diesel,2.0L,Automatic,"13,616 miles",5,241 bhp,2019 (69),40.9,Estate,124 g/km,BLACK,1.0,Euro 6,£199,"£41,200",,
1,E Class,Diesel,2.0L,Automatic,"7,725 miles",2,191 bhp,2020 (70),70.6,Coupe,106 g/km,BLACK,1.0,Euro 6,£199,"£37,500",,
2,E Class,Diesel,2.9L,Automatic,"15,244 miles",4,335 bhp,2019 (19),48.7,Saloon,154 g/km,GREY,1.0,Euro 6,£199,"£36,000",,
3,E Class,Petrol,2.0L,Automatic,"17,292 miles",2,241 bhp,2019 (19),40.4,Coupe,160 g/km,BLACK,1.0,Euro 6,£199,"£35,500",,
4,GLC,Diesel,2.0L,Automatic,"10,821 miles",5,191 bhp,2019 (69),44.8,Estate,124 g/km,BLUE,1.0,Euro 6,£199,"£35,500",,
5,GLC,Petrol,2.0L,Automatic,"11,365 miles",5,208 bhp,2019 (68),43.5,Estate,152 g/km,GREY,1.0,Euro 6,£199,"£34,800",,
6,GLC,Diesel,2.1L,Automatic,"17,645 miles",5,168 bhp,2019 (69),39.2,Estate,156 g/km,BLACK,1.0,Euro 6,£199,"£34,750",,
7,E Class,Petrol,2.0L,Automatic,"27,424 miles",2,241 bhp,2018 (68),39.2,Convertible,167 g/km,RED,1.0,Euro 6,£199,"£33,800",,
8,E Class,Petrol,2.0L,Automatic,"12,658 miles",2,241 bhp,2019 (19),39.2,Convertible,167 g/km,WHITE,1.0,Euro 6,£199,"£33,700",,
9,E Class,Petrol,2.0L,Automatic,"29,831 miles",2,241 bhp,2018 (68),39.2,Convertible,167 g/km,BLACK,1.0,Euro 6,£199,"£33,500",,
10,GLC,Diesel,2.1L,Automatic,"27,853 miles",5,168 bhp,2018 (18),56.5,Estate,129 g/km,WHITE,2.0,Euro 6,£199,"£33,450",29-04-2022,
11,Gle,Diesel,2.1L,Automatic,"37,101 miles",5,201 bhp,2017 (66),47.9,Estate,156 g/km,BLACK,2.0,Euro 6,£199,"£33,400",,
12,GLC,Diesel,2.1L,Automatic,"26,513 miles",4,168 bhp,2017 (66),56.5,Coupe,131 g/km,SILVER,2.0,Euro 6,£199,"£33,200",30-01-2022,
13,GLC,Diesel,2.1L,Automatic,"21,731 miles",5,201 bhp,2018 (18),56.5,Estate,129 g/km,WHITE,1.0,Euro 6,£199,"£32,700",26-03-2022,
14,GLC,Diesel,2.1L,Automatic,"33,626 miles",5,201 bhp,2018 (67),56.5,Estate,129 g/km,WHITE,1.0,Euro 6,£199,"£32,700",25-01-2022,
15,GLC,Diesel,3.0L,Automatic,"32,939 miles",4,255 bhp,2017 (67),47.1,Coupe,161 g/km,GREY,1.0,Euro 6,£199,"£32,500",13-01-2022,
16,E Class,Petrol,2.0L,Automatic,"21,462 miles",2,241 bhp,2019 (19),39.2,Convertible,167 g/km,WHITE,1.0,Euro 6,£199,"£32,400",,
17,E Class,Petrol,2.0L,Automatic,"6,702 miles",2,241 bhp,2018 (68),39.2,Convertible,167 g/km,BLACK,1.0,Euro 6,£199,"£32,250",,
18,E Class,Diesel,2.0L,Automatic,"12,036 miles",2,191 bhp,2019 (19),57.7,Convertible,126 g/km,GREY,1.0,Euro 6,£199,"£32,200",,
19,GLC,Petrol,2.0L,Automatic,"63,546 miles",5,208 bhp,2018 (68),43.5,Estate,152 g/km,BLACK,1.0,Euro 6,£199,"£32,000",04-07-2022,
20,Gle,Diesel,3.0L,Automatic,"35,878 miles",5,255 bhp,2017 (17),42.8,Estate,179 g/km,SILVER,2.0,Euro 6,£199,"£31,950",01-07-2022,
21,E Class,Petrol,2.0L,Automatic,"32,382 miles",2,241 bhp,2019 (69),40.4,Coupe,160 g/km,WHITE,1.0,Euro 6,£199,"£31,760",,
22,C Class,Diesel,2.0L,Automatic,"10,841 miles",4,241 bhp,2019 (69),49.6,Saloon,130 g/km,WHITE,1.0,Euro 6,£199,"£31,700",,
23,GLC,Diesel,2.1L,Automatic,"37,523 miles",5,168 bhp,2018 (68),56.5,Estate,129 g/km,SILVER,1.0,Euro 6,£199,"£31,700",04-09-2022,
24,G Series,Diesel,3.0L,Automatic,"59,647 miles",5,258 bhp,2015 (15),35.3,Estate,209 g/km,BLACK,2.0,Euro 6,£199,"£31,700",14-03-2022,
25,GLC,Diesel,2.1L,Automatic,"26,859 miles",5,168 bhp,2018 (68),56.5,Estate,129 g/km,RED,1.0,Euro 6,£199,"£31,500",16-10-2022,
26,C Class,Diesel,2.0L,Automatic,"14,011 miles",4,241 bhp,2019 (69),49.6,Saloon,130 g/km,SILVER,1.0,Euro 6,£199,"£31,300",,
27,E Class,Petrol,2.0L,Automatic,"17,251 miles",5,181 bhp,2019 (19),32.1,Estate,172 g/km,GREY,1.0,Euro 6,£199,"£31,300",,
28,GLC,Diesel,2.1L,Automatic,"38,934 miles",5,201 bhp,2016 (66),56.5,Estate,129 g/km,WHITE,2.0,Euro 6,£199,"£31,200",19-08-2022,
29,Gle,Diesel,2.1L,Automatic,"44,245 miles",5,201 bhp,2017 (17),47.9,Estate,156 g/km,BLACK,1.0,Euro 6,£199,"£31,200",07-07-2022,
30,GLC,Diesel,2.1L,Automatic,"34,271 miles",4,168 bhp,2017 (17),56.5,Coupe,131 g/km,SILVER,2.0,Euro 6,£199,"£31,200",17-03-2022,
31,C Class,Petrol,1.5L,Automatic,"12,304 miles",2,181 bhp,2019 (69),44.1,Convertible,145 g/km,BLACK,1.0,Euro 6,£199,"£31,000",,
32,E Class,Diesel,2.0L,Automatic,"31,115 miles",5,191 bhp,2019 (69),42.8,Estate,135 g/km,BLACK,1.0,Euro 6,£199,"£30,900",,
33,C Class,Diesel,2.0L,Automatic,"11,761 miles",4,241 bhp,2019 (69),49.6,Saloon,130 g/km,BLACK,1.0,Euro 6,£199,"£30,900",,
34,GLC,Diesel,2.1L,Automatic,"27,746 miles",5,201 bhp,2016 (65),56.5,Estate,129 g/km,BLACK,,Euro 6,£199,"£30,500",22-07-2022,
35,C Class,Diesel,2.0L,Automatic,"13,263 miles",4,241 bhp,2019 (69),48.7,Saloon,129 g/km,BLACK,1.0,Euro 6,£199,"£30,500",,
36,C Class,Petrol,1.5L,Automatic,"17,119 miles",2,181 bhp,2019 (69),44.1,Convertible,145 g/km,GREY,1.0,Euro 6,£199,"£30,500",,
37,GLC,Diesel,2.1L,Automatic,"25,020 miles",5,168 bhp,2019 (68),41.5,Estate,158 g/km,GREY,1.0,Euro 6,£199,"£30,250",28-10-2022,
38,GLC,Diesel,2.1L,Automatic,"57,278 miles",4,201 bhp,2017 (66),56.5,Coupe,131 g/km,GREY,1.0,Euro 6,£199,"£30,200",30-01-2022,
39,A Class,Petrol,1.3L,Automatic,"7,978 miles",5,134 bhp,2020 (70),45.6,Hatchback,122 g/km,GREY,1.0,Euro 6,£199,"£30,100",,
40,E Class,Petrol,2.0L,Automatic,"32,318 miles",2,241 bhp,2018 (18),39.2,Convertible,167 g/km,WHITE,2.0,Euro 6,£199,"£30,000",21-04-2022,
41,E Class,Diesel,2.0L,Automatic,"28,869 miles",2,191 bhp,2018 (18),70.6,Coupe,106 g/km,WHITE,2.0,Euro 6,£199,"£30,000",28-03-2022,
42,Gle,Diesel,2.1L,Automatic,"31,436 miles",5,201 bhp,2016 (16),47.9,Estate,155 g/km,BLUE,,Euro 6,£199,"£30,000",30-03-2022,
43,Gle,Diesel,2.1L,Automatic,"50,782 miles",5,201 bhp,2016 (66),47.9,Estate,156 g/km,BLACK,2.0,Euro 6,£199,"£29,900",14-12-2021,
44,GLC,Diesel,2.1L,Automatic,"26,897 miles",5,168 bhp,2018 (68),56.5,Estate,129 g/km,WHITE,1.0,Euro 6,£199,"£29,700",27-10-2022,
45,GLC,Diesel,2.1L,Automatic,"51,379 miles",5,201 bhp,2017 (67),56.5,Estate,129 g/km,GREY,1.0,Euro 6,£199,"£29,600",,
46,C Class,Petrol,1.5L,Automatic,"11,271 miles",2,181 bhp,2018 (68),44.1,Convertible,145 g/km,BLACK,1.0,Euro 6,£199,"£29,500",,
47,GLC,Diesel,2.1L,Automatic,"26,976 miles",5,168 bhp,2015 (65),56.5,Estate,129 g/km,GREY,,Euro 6,£199,"£29,500",30-11-2021,
48,Cla,Petrol,1.3L,Automatic,"13,655 miles",4,161 bhp,2019 (69),44.8,Coupe,124 g/km,BLACK,1.0,Euro 6,£199,"£29,300",,
49,A Class,Petrol,1.3L,Automatic,"5,200 miles",4,134 bhp,2020 (20),45.6,Saloon,124 g/km,GREY,2.0,Euro 6,£199,"£29,300",,
50,GLC,Diesel,2.1L,Automatic,"36,011 miles",4,168 bhp,2017 (17),56.5,Coupe,131 g/km,SILVER,2.0,Euro 6,£199,"£29,200",15-11-2021,
51,E Class,Diesel,2.0L,Automatic,"35,463 miles",4,191 bhp,2018 (68),65.7,Saloon,112 g/km,BLACK,,Euro 6,£199,"£29,200",,
52,E Class,Diesel,2.0L,Automatic,"37,869 miles",2,191 bhp,2018 (18),70.6,Coupe,106 g/km,WHITE,2.0,Euro 6,£199,"£29,100",30-03-2022,
53,C Class,Petrol,2.0L,Automatic,"24,453 miles",4,255 bhp,2019 (19),43.5,Saloon,148 g/km,BLUE,2.0,Euro 6,£199,"£29,100",,
54,GLC,Diesel,2.1L,Automatic,"30,604 miles",5,201 bhp,2016 (16),56.5,Estate,129 g/km,GREY,2.0,Euro 6,£199,"£29,000",18-11-2021,
55,GLC,Diesel,2.1L,Automatic,"52,738 miles",5,168 bhp,2017 (67),56.5,Estate,129 g/km,GREY,,Euro 6,£199,"£29,000",04-10-2022,
56,GLC,Diesel,2.1L,Automatic,"31,589 miles",5,201 bhp,2017 (17),56.5,Estate,129 g/km,BLACK,1.0,Euro 6,£199,"£28,950",20-09-2022,
57,C Class,Petrol,1.5L,Automatic,"9,021 miles",2,181 bhp,2018 (68),44.1,Convertible,145 g/km,WHITE,1.0,Euro 6,£199,"£28,700",,
58,GLC,Diesel,2.1L,Automatic,"33,013 miles",5,168 bhp,2015 (65),56.5,Estate,129 g/km,BLUE,1.0,Euro 6,£199,"£28,700",25-02-2022,
59,E Class,Petrol,2.0L,Automatic,"10,656 miles",4,181 bhp,2019 (19),33.2,Saloon,163 g/km,SILVER,1.0,Euro 6,£199,"£28,600",,
60,GLC,Diesel,2.1L,Automatic,"69,998 miles",5,168 bhp,2018 (18),56.5,Estate,129 g/km,BLACK,1.0,Euro 6,£199,"£28,600",28-03-2022,
61,C Class,Petrol,1.5L,Automatic,"13,601 miles",2,181 bhp,2019 (19),44.1,Convertible,145 g/km,GREY,1.0,Euro 6,£199,"£28,500",,
62,C Class,Diesel,2.0L,Automatic,"28,860 miles",4,241 bhp,2019 (69),48.7,Saloon,129 g/km,GREY,1.0,Euro 6,£199,"£28,500",,
63,GLC,Diesel,2.1L,Automatic,"30,828 miles",5,168 bhp,2016 (66),56.5,Estate,129 g/km,RED,2.0,Euro 6,£199,"£28,500",28-04-2022,
64,GLC,Diesel,2.1L,Automatic,"29,393 miles",5,168 bhp,2017 (67),56.5,Estate,129 g/km,BLACK,1.0,Euro 6,£199,"£28,500",10-10-2022,
65,C Class,Diesel,2.0L,Automatic,"28,416 miles",4,191 bhp,2019 (69),64.2,Saloon,117 g/km,BLACK,1.0,Euro 6,£199,"£28,210",,
66,A Class,Petrol,2.0L,Automatic,"13,149 miles",5,221 bhp,2018 (68),45.6,Hatchback,141 g/km,GREY,1.0,Euro 6,£199,"£28,200",27-09-2022,
67,E Class,Diesel,2.0L,Automatic,"28,955 miles",5,191 bhp,2019 (69),61.4,Estate,120 g/km,GREY,1.0,Euro 6,£199,"£28,200",,
68,GLC,Diesel,2.1L,Automatic,"53,917 miles",5,201 bhp,2017 (66),56.5,Estate,129 g/km,BLUE,1.0,Euro 6,£199,"£28,100",15-02-2022,
69,C Class,Diesel,2.0L,Automatic,"12,520 miles",4,191 bhp,2018 (68),64.2,Saloon,117 g/km,BLUE,1.0,Euro 6,£199,"£28,000",29-09-2022,
70,E Class,Diesel,2.0L,Automatic,"22,802 miles",2,191 bhp,2017 (67),70.6,Coupe,106 g/km,WHITE,1.0,Euro 6,£199,"£28,000",,
71,GLC,Diesel,2.1L,Automatic,"52,702 miles",5,201 bhp,2017 (17),56.5,Estate,129 g/km,GREY,2.0,Euro 6,£199,"£27,950",,
72,GLC,Diesel,2.1L,Automatic,"48,016 miles",5,168 bhp,2016 (66),56.5,Estate,129 g/km,SILVER,,Euro 6,£199,"£27,800",08-10-2022,
73,GLC,Diesel,2.1L,Automatic,"57,819 miles",5,201 bhp,2016 (16),56.5,Estate,129 g/km,WHITE,2.0,Euro 6,£199,"£27,600",21-06-2022,
74,GLC,Diesel,2.1L,Automatic,"63,811 miles",5,201 bhp,2018 (18),56.5,Estate,129 g/km,WHITE,1.0,Euro 6,£199,"£27,500",02-08-2022,
75,GLC,Diesel,2.1L,Automatic,"35,270 miles",5,168 bhp,2018 (68),41.5,Estate,158 g/km,GREY,1.0,Euro 6,£199,"£27,500",01-08-2022,
76,GLC,Diesel,2.1L,Automatic,"65,484 miles",5,168 bhp,2018 (18),56.5,Estate,129 g/km,BLACK,1.0,Euro 6,£199,"£27,500",26-06-2022,
77,C Class,Petrol,1.5L,Automatic,"17,561 miles",2,181 bhp,2018 (18),44.1,Convertible,145 g/km,BLACK,1.0,Euro 6,£199,"£27,500",,
78,GLC,Diesel,2.1L,Automatic,"41,792 miles",5,168 bhp,2016 (66),56.5,Estate,129 g/km,BLACK,2.0,Euro 6,£199,"£27,500",29-11-2021,
79,E Class,Diesel,2.0L,Automatic,"34,992 miles",2,191 bhp,2018 (18),70.6,Coupe,106 g/km,WHITE,2.0,Euro 6,£199,"£27,500",24-05-2022,
80,C Class,Petrol,1.5L,Automatic,"14,804 miles",2,181 bhp,2018 (68),44.1,Convertible,145 g/km,WHITE,1.0,Euro 6,£199,"£27,500",,
81,C Class,Petrol,1.5L,Automatic,"23,208 miles",5,181 bhp,2019 (19),45.6,Estate,142 g/km,BLACK,1.0,Euro 6,£199,"£27,300",,
82,GLC,Diesel,2.1L,Automatic,"37,981 miles",5,168 bhp,2016 (16),56.5,Estate,129 g/km,SILVER,,Euro 6,£199,"£27,300",08-07-2022,
83,GLC,Diesel,2.1L,Automatic,"44,115 miles",5,168 bhp,2018 (18),56.5,Estate,129 g/km,BRILLIANT BLUE,2.0,Euro 6,£199,"£27,300",30-03-2022,
84,C Class,Petrol,2.0L,Automatic,"39,988 miles",2,241 bhp,2018 (18),43.5,Coupe,148 g/km,WHITE,2.0,Euro 6,£199,"£27,100",23-07-2022,
85,C Class,Petrol,2.0L,Automatic,"22,143 miles",2,181 bhp,2018 (67),47.1,Coupe,134 g/km,BLACK,1.0,Euro 6,£199,"£27,000",09-01-2022,
86,GLC,Diesel,2.1L,Automatic,"38,947 miles",5,201 bhp,2017 (17),56.5,Estate,129 g/km,WHITE,1.0,Euro 6,£199,"£27,000",30-11-2021,
87,GLC,Diesel,2.1L,Automatic,"41,044 miles",5,168 bhp,2017 (67),56.5,Estate,129 g/km,WHITE,2.0,Euro 6,£199,"£27,000",20-01-2022,
88,C Class,Petrol,2.0L,Automatic,"18,393 miles",4,255 bhp,2019 (19),43.5,Saloon,148 g/km,WHITE,1.0,Euro 6,£199,"£27,000",,
89,C Class,Diesel,2.1L,Automatic,"23,834 miles",2,168 bhp,2018 (68),58.9,Convertible,123 g/km,BLACK,1.0,Euro 6,£199,"£27,000",05-09-2022,
90,A Class,Petrol,2.0L,Automatic,"21,550 miles",5,188 bhp,2019 (68),40.4,Hatchback,141 g/km,GREY,1.0,Euro 6,£199,"£27,000",31-08-2022,
91,GLC,Diesel,2.1L,Automatic,"79,191 miles",5,201 bhp,2017 (66),56.5,Estate,129 g/km,BLACK,1.0,Euro 6,£199,"£27,000",20-02-2022,
92,GLC,Diesel,2.1L,Automatic,"56,618 miles",5,168 bhp,2018 (18),56.5,Estate,129 g/km,GREY,1.0,Euro 6,£199,"£26,950",21-03-2022,
93,C Class,Petrol,2.0L,Automatic,"29,205 miles",2,181 bhp,2018 (18),44.1,Convertible,143 g/km,WHITE,2.0,Euro 6,£199,"£26,900",29-04-2022,
94,C Class,Petrol,1.5L,Automatic,"22,619 miles",2,181 bhp,2018 (68),44.1,Convertible,145 g/km,GREY,1.0,Euro 6,£199,"£26,900",,
95,Gla Class,Petrol,1.6L,Automatic,"7,522 miles",5,121 bhp,2019 (69),44.8,Estate,144 g/km,JUPITER RED,1.0,Euro 6,£199,"£26,710",,
96,C Class,Petrol,1.5L,Automatic,"34,293 miles",2,181 bhp,2018 (68),46.3,Coupe,140 g/km,GREY,1.0,Euro 6,£199,"£26,700",,
97,C Class,Diesel,2.0L,Automatic,"30,167 miles",4,191 bhp,2018 (68),64.2,Saloon,117 g/km,BLACK,1.0,Euro 6,£199,"£26,500",29-09-2022,
98,C Class,Diesel,2.0L,Automatic,"38,867 miles",4,191 bhp,2019 (69),64.2,Saloon,117 g/km,BLACK,1.0,Euro 6,£199,"£26,500",,
99,GLC,Diesel,2.1L,Automatic,"27,296 miles",5,168 bhp,2017 (67),56.5,Estate,129 g/km,WHITE,1.0,Euro 6,£199,"£26,500",,
100,A Class,Diesel,2.0L,Automatic,"13,591 miles",5,148 bhp,2020 (69),56.5,Hatchback,110 g/km,WHITE,1.0,Euro 6,£199,"£26,500",,
101,C Class,Diesel,2.1L,Automatic,"31,218 miles",2,201 bhp,2016 (66),65.7,Coupe,112 g/km,GREY,2.0,Euro 6,£199,"£26,300",25-04-2022,
102,C Class,Diesel,2.0L,Automatic,"41,155 miles",2,191 bhp,2018 (18),61.4,Coupe,121 g/km,GREY,2.0,Euro 6,£199,"£26,300",12-09-2022,
103,C Class,Petrol,2.0L,Automatic,"34,819 miles",2,,2017 (67),,Coupe,134 g/km,Blue,2.0,,£199,"£26,300",,
104,C Class,Petrol,1.5L,Automatic,"23,850 miles",2,181 bhp,2018 (68),44.1,Convertible,145 g/km,WHITE,1.0,Euro 6,£199,"£26,250",,
105,C Class,Diesel,2.0L,Automatic,"44,718 miles",4,191 bhp,2019 (69),64.2,Saloon,117 g/km,BLACK,1.0,Euro 6,£199,"£26,100",,
106,C Class,Petrol,1.5L,Automatic,"24,441 miles",2,181 bhp,2018 (68),44.1,Convertible,145 g/km,BLUE,1.0,Euro 6,£199,"£26,000",,
107,A Class,Petrol,2.0L,Automatic,"23,765 miles",5,221 bhp,2018 (68),45.6,Hatchback,141 g/km,WHITE,1.0,Euro 6,£199,"£26,000",,
108,A Class,Diesel,2.0L,Automatic,"9,294 miles",5,148 bhp,2019 (69),56.5,Hatchback,110 g/km,BLACK,2.0,Euro 6,£199,"£25,900",,
109,C Class,Petrol,2.0L,Automatic,"43,211 miles",2,181 bhp,2017 (67),44.1,Convertible,143 g/km,WHITE,2.0,Euro 6,£199,"£25,800",,
110,C Class,Petrol,1.5L,Automatic,"32,851 miles",2,181 bhp,2018 (68),44.1,Convertible,145 g/km,WHITE,1.0,Euro 6,£199,"£25,600",27-09-2022,
111,GLC,Diesel,2.1L,Automatic,"57,162 miles",5,168 bhp,2017 (67),56.5,Estate,129 g/km,SILVER,2.0,Euro 6,£199,"£25,500",29-11-2021,
112,E Class,Diesel,2.0L,Automatic,"33,053 miles",5,191 bhp,2017 (67),61.4,Estate,120 g/km,WHITE,1.0,Euro 6,£199,"£25,500",12-09-2022,
113,C Class,Diesel,2.1L,Automatic,"24,876 miles",2,168 bhp,2017 (17),67.3,Coupe,109 g/km,GREY,2.0,Euro 6,£199,"£25,400",07-11-2022,
114,Cla Class,Petrol,1.6L,Manual,"14,652 miles",4,154 bhp,2018 (68),44.1,Saloon,147 g/km,WHITE,1.0,Euro 6,£199,"£25,300",18-11-2022,
115,GLC,Diesel,2.1L,Automatic,"38,763 miles",5,168 bhp,2017 (17),56.5,Estate,129 g/km,BLACK,1.0,Euro 6,£199,"£25,300",21-10-2022,
116,E Class,Hybrid Petrol,2.0L,Automatic,"67,558 miles",4,282 bhp,2017 (17),99.99,Saloon,57 g/km,GREY,1.0,Euro 6,£199,"£25,200",03-05-2022,
117,GLC,Diesel,2.1L,Automatic,"55,878 miles",5,168 bhp,2017 (67),56.5,Estate,129 g/km,BLACK,1.0,Euro 6,£199,"£25,000",26-09-2022,
118,C Class,Diesel,2.0L,Automatic,"32,798 miles",4,191 bhp,2018 (68),64.2,Saloon,117 g/km,BLACK,1.0,Euro 6,£199,"£25,000",,
119,Gla Class,Petrol,1.6L,Automatic,"19,478 miles",5,121 bhp,2019 (69),44.8,Estate,144 g/km,JUPITER RED,1.0,Euro 6,£199,"£25,000",,
120,E Class,Diesel,2.0L,Automatic,"41,601 miles",2,191 bhp,2017 (67),53.3,Coupe,137 g/km,SILVER,1.0,Euro 6,£199,"£25,000",26-11-2021,
121,GLC,Diesel,2.1L,Automatic,"72,421 miles",5,168 bhp,2016 (16),56.5,Estate,129 g/km,GREY,2.0,Euro 6,£199,"£25,000",29-06-2022,
122,A Class,Petrol,2.0L,Automatic,"10,018 miles",5,221 bhp,2018 (68),45.6,Hatchback,141 g/km,WHITE,1.0,Euro 6,£199,"£25,000",18-10-2022,
123,A Class,Petrol,2.0L,Automatic,"8,309 miles",5,221 bhp,2018 (68),45.6,Hatchback,141 g/km,WHITE,1.0,Euro 6,£199,"£25,000",23-10-2022,
124,Gla Class,Petrol,1.6L,Automatic,"6,784 miles",5,154 bhp,2018 (68),50.4,Estate,131 g/km,BLACK,1.0,Euro 6,£199,"£25,000",,
125,A Class,Petrol,1.3L,Manual,"16,892 miles",5,161 bhp,2019 (19),44.1,Hatchback,136 g/km,SILVER,1.0,Euro 6,£199,"£24,860",,
126,C Class,Hybrid Petrol,2.0L,Automatic,"29,538 miles",4,,2017 (67),,Saloon,48 g/km,WHITE,1.0,Euro 6,£199,"£24,800",07-11-2022,
127,Gla Class,Diesel,2.1L,Automatic,"18,717 miles",5,174 bhp,2018 (18),56.5,Estate,130 g/km,BLACK,,Euro 6,£199,"£24,800",15-06-2022,
128,C Class,Diesel,2.1L,Automatic,"36,762 miles",2,201 bhp,2017 (17),58.9,Convertible,123 g/km,BLACK,,Euro 6,£199,"£24,750",18-02-2022,
129,A Class,Petrol,2.0L,Automatic,"12,652 miles",5,221 bhp,2018 (68),45.6,Hatchback,141 g/km,BLACK,1.0,Euro 6,£199,"£24,700",18-10-2022,
130,Cla Class,Diesel,2.1L,Automatic,"17,625 miles",4,174 bhp,2018 (18),67.3,Saloon,109 g/km,SILVER,1.0,Euro 6,£199,"£24,700",28-03-2022,
131,C Class,Diesel,2.1L,Automatic,"15,728 miles",4,204 bhp,2017 (17),61.4,Saloon,117 g/km,SILVER,2.0,Euro 6,£199,"£24,600",13-07-2022,
132,C Class,Petrol,2.0L,Automatic,"16,437 miles",5,184 bhp,2018 (68),47.9,Estate,138 g/km,BLACK,1.0,Euro 6,£199,"£24,500",29-09-2022,
133,Gla Class,Petrol,1.6L,Automatic,"18,967 miles",5,121 bhp,2019 (69),44.8,Estate,144 g/km,MOUNTAIN GREY,1.0,Euro 6,£199,"£24,500",,
134,Gla,Petrol,1.6L,Manual,"14,098 miles",5,154 bhp,2018 (68),47.1,Estate,138 g/km,BLACK,1.0,Euro 6,£199,"£24,500",29-09-2022,
135,Gla Class,Petrol,1.6L,Automatic,"14,464 miles",5,154 bhp,2018 (68),50.4,Estate,131 g/km,WHITE,1.0,Euro 6,£199,"£24,400",20-09-2022,
136,E Class,Diesel,2.0L,Automatic,"50,557 miles",4,191 bhp,2018 (67),65.7,Saloon,112 g/km,BRONZE,2.0,Euro 6,£199,"£24,310",04-02-2022,
137,C Class,Diesel,2.1L,Automatic,"41,229 miles",2,168 bhp,2016 (16),67.3,Coupe,109 g/km,GREY,2.0,Euro 6,£199,"£24,300",07-10-2022,
138,Gla Class,Diesel,2.1L,Automatic,"24,020 miles",5,134 bhp,2019 (68),64.2,Estate,115 g/km,WHITE,1.0,Euro 6,£199,"£24,300",,
139,A Class,Petrol,2.0L,Automatic,"18,681 miles",5,221 bhp,2018 (68),45.6,Hatchback,141 g/km,WHITE,1.0,Euro 6,£199,"£24,250",22-11-2022,
140,Gla Class,Petrol,1.6L,Automatic,"22,267 miles",5,121 bhp,2019 (69),44.8,Estate,144 g/km,WHITE,1.0,Euro 6,£199,"£24,200",,
141,C Class,Diesel,2.1L,Automatic,"33,298 miles",2,201 bhp,2017 (17),58.9,Convertible,123 g/km,SILVER,2.0,Euro 6,£199,"£24,200",30-08-2022,
142,C Class,Diesel,2.1L,Automatic,"9,148 miles",4,170 bhp,2018 (18),61.4,Saloon,117 g/km,SILVER,1.0,Euro 6,£199,"£24,100",26-07-2022,
143,Gle,Diesel,2.1L,Automatic,"79,359 miles",5,201 bhp,2015 (65),47.9,Estate,156 g/km,BLACK,2.0,Euro 6,£199,"£24,100",15-04-2022,
144,A Class,Petrol,2.0L,Automatic,"18,043 miles",5,221 bhp,2018 (68),45.6,Hatchback,141 g/km,WHITE,2.0,Euro 6,£199,"£24,000",23-08-2022,
145,Gla Class,Diesel,2.1L,Automatic,"14,416 miles",5,134 bhp,2018 (68),67.3,Estate,108 g/km,WHITE,1.0,Euro 6,£199,"£24,000",,
146,A Class,Petrol,2.0L,Automatic,"18,306 miles",5,221 bhp,2018 (68),45.6,Hatchback,141 g/km,WHITE,1.0,Euro 6,£199,"£24,000",28-09-2022,
147,A Class,Petrol,1.3L,Automatic,"14,533 miles",5,134 bhp,2019 (69),46.3,Hatchback,122 g/km,RED,1.0,Euro 6,£199,"£24,000",,
148,A Class,Diesel,1.5L,Automatic,"19,062 miles",5,114 bhp,2019 (68),67.3,Hatchback,111 g/km,GREY,1.0,Euro 6,£199,"£23,900",,
149,C Class,Diesel,2.1L,Automatic,"32,379 miles",4,204 bhp,2017 (17),64.2,Saloon,113 g/km,WHITE,2.0,Euro 6,£199,"£23,900",15-04-2022,
150,E Class,Diesel,2.0L,Automatic,"42,260 miles",4,191 bhp,2016 (16),65.7,Saloon,112 g/km,BLACK,,Euro 6,£199,"£23,900",31-01-2022,
151,Gla,Petrol,1.6L,Manual,"11,461 miles",5,154 bhp,2018 (18),47.1,Estate,138 g/km,BLACK,1.0,Euro 6,£199,"£23,800",03-05-2022,
152,C Class,Diesel,2.1L,Automatic,"33,569 miles",2,,2017 (17),,Coupe,112 g/km,White,2.0,,£199,"£23,700",,
153,A Class,Diesel,1.5L,Automatic,"20,793 miles",5,114 bhp,2019 (19),67.3,Hatchback,111 g/km,BLACK,1.0,Euro 6,£199,"£23,700",,
154,E Class,Petrol,2.0L,Automatic,"39,850 miles",2,181 bhp,2016 (66),42.2,Convertible,153 g/km,WHITE,1.0,Euro 6,£199,"£23,650",14-10-2021,
155,C Class,Diesel,2.1L,Automatic,"32,166 miles",4,204 bhp,2017 (17),61.4,Saloon,127 g/km,WHITE,1.0,Euro 6,£199,"£23,600",24-03-2022,
156,C Class,Diesel,2.1L,Automatic,"41,984 miles",4,204 bhp,2017 (17),64.2,Saloon,113 g/km,GREY,2.0,Euro 6,£199,"£23,600",28-10-2022,
157,A Class,Petrol,1.3L,Manual,"50,130 miles",4,161 bhp,2019 (69),44.8,Saloon,134 g/km,BLACK,1.0,Euro 6,£199,"£23,600",,
158,C Class,Diesel,2.1L,Automatic,"43,199 miles",2,168 bhp,2017 (17),67.3,Coupe,109 g/km,BLUE,,Euro 6,£199,"£23,500",14-12-2021,
159,C Class,Diesel,2.1L,Automatic,"47,630 miles",2,201 bhp,2017 (17),65.7,Coupe,112 g/km,WHITE,,Euro 6,£199,"£23,500",30-06-2022,
