,Model,Fuel Type,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,Engine Size,CO2,MOT Expires,VAT Qualifying
27,Qashqai,Petrol,Manual,"14,216 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLUE,1.0,Euro 6,£199,"£18,500",1.2L,129 g/km,,
28,Qashqai,Diesel,Manual,"23,360 miles",5,108 bhp,2018 (68),74.3,Hatchback,RED,1.0,Euro 6,£199,"£18,500",1.5L,99 g/km,26-09-2022,
29,Qashqai,Diesel,Manual,"28,767 miles",5,114 bhp,2018 (68),51.4,Hatchback,GREY,1.0,Euro 6,£199,"£18,350",1.5L,110 g/km,,
30,Qashqai,Diesel,Manual,"35,970 miles",5,108 bhp,2017 (17),74.3,Hatchback,BLUE,2.0,Euro 6,£199,"£18,300",1.5L,99 g/km,18-08-2022,
31,Qashqai,Diesel,Manual,"24,170 miles",5,108 bhp,2018 (18),74.3,Hatchback,BLACK,1.0,Euro 6,£199,"£18,300",1.5L,99 g/km,27-03-2022,
32,X-Trail,Diesel,Automatic,"44,250 miles",5,130 bhp,2017 (17),53.3,Estate,BLACK,2.0,Euro 6,£199,"£18,000",1.6L,139 g/km,25-08-2022,
33,Qashqai,Petrol,Manual,"20,879 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,2.0,Euro 6,£199,"£18,000",1.2L,129 g/km,27-09-2022,
34,Qashqai,Petrol,Manual,"22,669 miles",5,113 bhp,2017 (67),50.4,Hatchback,GREY,1.0,Euro 6,£199,"£18,000",1.2L,129 g/km,17-09-2022,
35,Qashqai,Petrol,Manual,"18,270 miles",5,140 bhp,2019 (19),40.4,Hatchback,BLACK,2.0,Euro 6,£199,"£18,000",1.3L,130 g/km,,
36,Qashqai,Diesel,Manual,"33,349 miles",5,108 bhp,2018 (68),74.3,Hatchback,GREY,1.0,Euro 6,£199,"£17,900",1.5L,99 g/km,19-07-2022,
37,Qashqai,Petrol,Manual,"26,995 miles",5,113 bhp,2018 (68),50.4,Hatchback,WHITE,1.0,Euro 6,£199,"£17,900",1.2L,129 g/km,11-09-2022,
38,Qashqai,Diesel,Manual,"21,146 miles",5,114 bhp,2018 (68),52.3,Hatchback,BLUE,1.0,Euro 6,£199,"£17,800",1.5L,110 g/km,09-10-2022,
39,Qashqai,Diesel,Manual,"40,146 miles",5,108 bhp,2017 (67),74.3,Hatchback,BLUE,1.0,Euro 6,£199,"£17,800",1.5L,99 g/km,28-09-2022,
40,Qashqai,Petrol,Manual,"19,162 miles",5,113 bhp,2018 (18),50.4,Hatchback,BLUE,,Euro 6,£199,"£17,800",1.2L,129 g/km,07-07-2022,
41,Qashqai,Petrol,Manual,"19,586 miles",5,113 bhp,2018 (68),50.4,Hatchback,BLACK,1.0,Euro 6,£199,"£17,700",1.2L,129 g/km,29-09-2022,
