,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Tax,Price,Body Type,CO2,MOT Expires
195,X1,Petrol,2.0L,Automatic,"38,114 miles",5,189 bhp,2016 (66),,£199,"£21,300",,,
196,4 Series,Diesel,2.0L,Automatic,"36,763 miles",2,188 bhp,2018 (18),,£199,"£21,300",,,
197,X1,Diesel,2.0L,Manual,"21,232 miles",5,188 bhp,2016 (66),58.9,£199,"£21,300",,,
198,5 Series,Diesel,3.0L,Automatic,"37,173 miles",4,308 bhp,2015 (65),,£199,"£21,300",,,
199,I3,Electric,,Automatic,"21,876 miles",5,168 bhp,2018 (68),1.0,£199,"£21,300",,,
200,6 Series,Diesel,3.0L,Automatic,"13,649 miles",4,308 bhp,2014 (14),,£199,"£21,200",,,
201,2 Series,Petrol,2.0L,Automatic,"35,330 miles",2,181 bhp,2018 (67),,£199,"£21,200",,,
202,2 Series,Hybrid Petrol,1.5L,Automatic,"43,704 miles",5,,2018 (68),,£199,"£21,150",Hatchback,,14-09-2022
203,3 Series,Hybrid Petrol,2.0L,Automatic,"44,710 miles",4,,2018 (18),,£199,"£21,100",,,20-08-2022
204,X1,Diesel,2.0L,Automatic,"41,425 miles",5,187 bhp,2018 (18),,£199,"£21,100",,,
205,1 Series,Petrol,1.5L,Automatic,"22,275 miles",3,134 bhp,2019 (19),,£199,"£21,100",,,
206,X3,Diesel,2.0L,Automatic,"56,345 miles",5,188 bhp,2017 (17),,£199,"£21,100",,,
207,1 Series,Petrol,1.5L,Automatic,"17,483 miles",5,134 bhp,2019 (68),,£199,"£21,000",,,
208,4 Series,Diesel,2.0L,Automatic,"44,320 miles",4,188 bhp,2019 (68),,£199,"£21,000",,,
209,3 Series,Diesel,3.0L,Automatic,"37,964 miles",4,255 bhp,2017 (17),,£199,"£21,000",,,
210,2 Series,Hybrid Petrol,1.5L,Automatic,"20,953 miles",5,,2017 (67),,£199,"£21,000",Hatchback,,29-11-2021
211,3 Series,Diesel,2.0L,Automatic,"27,828 miles",5,188 bhp,2017 (66),,£199,"£21,000",,,
212,2 Series,Petrol,2.0L,Automatic,"26,445 miles",2,248 bhp,2016 (66),45.6,£199,"£21,000",,,
213,2 Series,Diesel,2.0L,Automatic,"50,025 miles",5,187 bhp,2018 (68),47.1,£199,"£21,000",,,
214,3 Series,Diesel,3.0L,Automatic,"46,714 miles",4,308 bhp,2017 (67),,£199,"£21,000",,,
215,3 Series,Diesel,2.0L,Automatic,"30,335 miles",4,188 bhp,2018 (68),,£199,"£21,000",,,
216,2 Series,Petrol,2.0L,Automatic,"13,311 miles",2,181 bhp,2017 (17),46.3,£199,"£20,900",,,
217,3 Series,Petrol,1.5L,Automatic,"19,635 miles",5,134 bhp,2018 (68),,£199,"£20,850",,,
218,4 Series,Diesel,2.0L,Manual,"10,540 miles",4,188 bhp,2017 (17),62.8,£199,"£20,800",,,
219,I3,Electric,,Automatic,"14,631 miles",5,168 bhp,2018 (18),1.0,£199,"£20,800",,,
220,3 Series,Diesel,2.0L,Automatic,"50,715 miles",4,188 bhp,2018 (68),,£199,"£20,800",,,
221,2 Series,Hybrid Petrol,1.5L,Automatic,"26,590 miles",5,,2017 (67),,£199,"£20,800",Hatchback,,10-12-2021
222,4 Series,Diesel,2.0L,Manual,"45,199 miles",4,188 bhp,2018 (68),,£199,"£20,800",,,
223,Z4,Petrol,2.0L,Automatic,"30,176 miles",2,181 bhp,2015 (65),,£199,"£20,749",,,
224,X1,Diesel,2.0L,Automatic,"52,185 miles",5,148 bhp,2017 (17),,£199,"£20,700",,,
225,X2,Diesel,2.0L,Automatic,"68,822 miles",5,187 bhp,2018 (18),61.4,£199,"£20,700",,,
226,3 Series,Petrol,2.0L,Automatic,"27,813 miles",4,181 bhp,2018 (18),,£199,"£20,700",,,
227,2 Series,Diesel,2.0L,Manual,"9,997 miles",5,188 bhp,2017 (17),64.2,£199,"£20,700",,,
228,3 Series,Diesel,2.0L,Automatic,"32,400 miles",5,188 bhp,2018 (18),,£199,"£20,700",,,
229,X4,Diesel,2.0L,Automatic,"74,109 miles",4,188 bhp,2015 (65),,£199,"£20,700",,,
230,4 Series,Diesel,2.0L,Automatic,"28,997 miles",4,188 bhp,2017 (17),65.7,£199,"£20,700",,,
231,3 Series,Diesel,3.0L,Automatic,"66,745 miles",5,255 bhp,2017 (66),51.4,£199,"£20,700",,,
232,3 Series,Diesel,2.0L,Automatic,"25,124 miles",4,188 bhp,2017 (17),64.2,£199,"£20,600",,,
233,I3,Electric,,Automatic,"16,105 miles",5,168 bhp,2018 (18),1.0,£199,"£20,600",,,
234,5 Series,Diesel,3.0L,Automatic,"30,608 miles",4,255 bhp,2016 (66),,£199,"£20,600",,,
235,2 Series,Diesel,2.0L,Automatic,"32,158 miles",5,187 bhp,2018 (18),47.1,£199,"£20,600",,,
236,1 Series,Diesel,2.0L,Manual,"17,380 miles",5,147 bhp,2018 (68),,£199,"£20,600",,,
237,6 Series,Petrol,3.0L,Automatic,"43,924 miles",2,315 bhp,2015 (65),,£199,"£20,600",,,
