,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Tax,Price,Body Type,CO2,MOT Expires
479,2 Series,Petrol,1.5L,Manual,"22,402 miles",5,138 bhp,2018 (68),44.1,£199,"£16,900",,,
480,X1,Diesel,2.0L,Manual,"36,715 miles",5,148 bhp,2017 (17),,£199,"£16,900",,,
481,X1,Diesel,2.0L,Manual,"57,566 miles",5,148 bhp,2017 (67),,£199,"£16,900",,,
482,2 Series,Hybrid Petrol,1.5L,Automatic,"58,962 miles",5,,2017 (17),,£199,"£16,900",Hatchback,,30-03-2022
483,3 Series,Diesel,2.0L,Automatic,"71,303 miles",5,188 bhp,2018 (18),,£199,"£16,900",,,
484,1 Series,Petrol,1.5L,Automatic,"26,426 miles",5,134 bhp,2016 (16),,£199,"£16,900",,,
485,1 Series,Petrol,1.5L,Manual,"17,382 miles",5,134 bhp,2018 (68),,£199,"£16,900",,,
486,X1,Diesel,2.0L,Manual,"50,023 miles",5,148 bhp,2017 (67),,£199,"£16,800",,,
487,2 Series,Petrol,1.5L,Automatic,"27,330 miles",5,134 bhp,2016 (66),55.4,£199,"£16,800",,,
488,1 Series,Petrol,1.5L,Manual,"22,989 miles",5,134 bhp,2019 (19),,£199,"£16,800",,,
489,2 Series,Diesel,2.0L,Automatic,"53,627 miles",2,188 bhp,2016 (16),,£199,"£16,800",,,
490,3 Series,Diesel,2.0L,Manual,"44,680 miles",5,161 bhp,2018 (68),,£199,"£16,800",,,
491,2 Series,Petrol,1.5L,Manual,"34,915 miles",2,134 bhp,2018 (18),52.3,£199,"£16,800",,,
492,3 Series,Diesel,2.0L,Manual,"48,639 miles",4,188 bhp,2017 (17),,£199,"£16,800",,,
493,4 Series,Diesel,2.0L,Manual,"57,654 miles",4,188 bhp,2016 (66),,£199,"£16,800",,,
494,3 Series,Diesel,2.0L,Automatic,"74,382 miles",5,188 bhp,2018 (18),,£199,"£16,700",,,
495,3 Series,Diesel,2.0L,Automatic,"51,098 miles",4,161 bhp,2018 (18),,£199,"£16,700",,,
496,2 Series,Petrol,1.5L,Automatic,"41,592 miles",2,134 bhp,2016 (66),51.4,£199,"£16,700",,,
497,X1,Diesel,2.0L,Automatic,"65,000 miles",5,148 bhp,2016 (66),65.7,£199,"£16,650",,,
498,1 Series,Petrol,1.5L,Automatic,"29,437 miles",5,134 bhp,2018 (68),37.2,£199,"£16,600",,,
499,2 Series,Petrol,1.5L,Automatic,"62,310 miles",5,134 bhp,2016 (66),51.4,£199,"£16,600",,,
500,1 Series,Diesel,2.0L,Manual,"21,691 miles",3,147 bhp,2018 (68),,£199,"£16,600",,,
501,2 Series,Petrol,1.5L,Manual,"56,112 miles",2,134 bhp,2018 (18),,£199,"£16,600",,,
502,5 Series,Diesel,2.0L,Automatic,"51,507 miles",4,188 bhp,2015 (15),,£199,"£16,600",,,
503,1 Series,Diesel,2.0L,Manual,"39,207 miles",5,188 bhp,2018 (18),49.6,£199,"£16,600",,,
504,1 Series,Diesel,1.5L,Automatic,"31,242 miles",3,114 bhp,2018 (68),,£199,"£16,600",,,
505,3 Series,Petrol,1.5L,Manual,"37,110 miles",5,134 bhp,2017 (67),,£199,"£16,600",,,
506,4 Series,Diesel,2.0L,Automatic,"77,712 miles",2,188 bhp,2016 (66),,£199,"£16,600",,,
507,3 Series,Diesel,2.0L,Manual,"48,635 miles",4,188 bhp,2017 (67),,£199,"£16,600",,,
508,3 Series,Diesel,2.0L,Automatic,"75,416 miles",5,188 bhp,2017 (17),,£199,"£16,600",,,
509,1 Series,Diesel,2.0L,Automatic,"32,676 miles",5,147 bhp,2016 (16),,£199,"£16,600",,,
510,X3,Diesel,2.0L,Automatic,"60,103 miles",5,181 bhp,2014 (14),,£199,"£16,500",,,
511,2 Series,Diesel,1.5L,Automatic,"45,212 miles",5,114 bhp,2016 (66),68.9,£199,"£16,500",,,
512,4 Series,Diesel,2.0L,Automatic,"52,364 miles",4,188 bhp,2016 (16),,£199,"£16,500",,,
513,3 Series,Diesel,2.0L,Manual,"37,994 miles",5,188 bhp,2017 (67),,£199,"£16,500",,,
514,3 Series,Petrol,1.5L,Automatic,"30,671 miles",5,134 bhp,2015 (65),,£199,"£16,500",,,
515,3 Series,Diesel,2.0L,Automatic,"72,237 miles",5,188 bhp,2015 (15),,£199,"£16,500",,,
516,2 Series,Petrol,1.5L,Manual,"37,972 miles",2,134 bhp,2017 (67),,£199,"£16,500",,,
517,2 Series,Diesel,2.0L,Automatic,"47,133 miles",5,188 bhp,2017 (17),65.7,£199,"£16,500",,,
518,1 Series,Diesel,1.5L,Manual,"46,647 miles",5,114 bhp,2017 (67),70.6,£199,"£16,500",,,
519,5 Series,Diesel,2.0L,Automatic,"64,870 miles",5,188 bhp,2015 (15),,£199,"£16,400",,,
520,3 Series,Diesel,3.0L,Automatic,"71,122 miles",4,255 bhp,2016 (66),,£199,"£16,400",,,
521,1 Series,Diesel,2.0L,Manual,"32,105 miles",5,147 bhp,2017 (17),,£199,"£16,400",,,
522,1 Series,Petrol,1.5L,Manual,"58,752 miles",5,134 bhp,2017 (67),52.3,£199,"£16,400",,,
523,3 Series,Petrol,2.0L,Manual,"38,289 miles",4,181 bhp,2015 (15),,£199,"£16,400",,,
524,3 Series,Diesel,3.0L,Automatic,"72,814 miles",4,308 bhp,2015 (65),,£199,"£16,400",,,
525,3 Series,Diesel,2.0L,Automatic,"45,081 miles",4,188 bhp,2016 (66),,£199,"£16,400",,,
526,1 Series,Petrol,1.5L,Automatic,"46,541 miles",5,134 bhp,2018 (68),,£199,"£16,400",,,
527,2 Series,Petrol,1.5L,Manual,"37,772 miles",2,134 bhp,2018 (68),,£199,"£16,400",,,
528,1 Series,Diesel,1.5L,Automatic,"32,113 miles",5,114 bhp,2016 (66),,£199,"£16,300",,,
529,2 Series,Diesel,2.0L,Manual,"35,917 miles",5,148 bhp,2017 (66),64.2,£199,"£16,300",,,
530,4 Series,Diesel,2.0L,Automatic,"84,817 miles",2,188 bhp,2015 (65),60.1,£199,"£16,300",,,
531,3 Series,Diesel,2.0L,Automatic,"62,058 miles",5,161 bhp,2017 (67),,£199,"£16,300",,,
532,1 Series,Petrol,1.5L,Manual,"35,127 miles",5,134 bhp,2018 (68),,£199,"£16,300",,,
533,X1,Diesel,2.0L,Manual,"51,123 miles",5,148 bhp,2017 (67),,£199,"£16,200",,,
534,1 Series,Diesel,2.0L,Automatic,"37,809 miles",5,188 bhp,2016 (66),,£199,"£16,200",,,
535,2 Series,Diesel,2.0L,Manual,"15,997 miles",5,148 bhp,2017 (67),68.9,£199,"£16,200",,,
536,2 Series,Petrol,1.5L,Automatic,"35,239 miles",5,138 bhp,2018 (18),42.2,£199,"£16,200",,,
537,4 Series,Petrol,2.0L,Manual,"39,831 miles",4,181 bhp,2016 (66),,£199,"£16,200",,,
538,X1,Diesel,2.0L,Manual,"52,895 miles",5,148 bhp,2017 (67),,£199,"£16,100",,,
539,2 Series,Diesel,1.5L,Automatic,"73,766 miles",5,114 bhp,2018 (18),55.4,£199,"£16,100",,,
540,4 Series,Diesel,2.0L,Automatic,"89,587 miles",4,188 bhp,2016 (66),65.7,£199,"£16,100",,,
541,2 Series,Petrol,1.5L,Manual,"26,348 miles",5,138 bhp,2018 (18),44.1,£199,"£16,100",,,
542,5 Series,Diesel,2.0L,Automatic,"58,106 miles",5,188 bhp,2016 (16),,£199,"£16,100",,,
543,2 Series,Diesel,2.0L,Manual,"23,385 miles",2,148 bhp,2018 (18),,£199,"£16,100",,,
544,2 Series,Petrol,1.5L,Manual,"30,452 miles",2,134 bhp,2016 (16),,£199,"£16,100",,,
545,1 Series,Petrol,1.5L,Automatic,"48,760 miles",5,134 bhp,2018 (68),,£199,"£16,100",,,
546,3 Series,Diesel,2.0L,Automatic,"44,345 miles",4,114 bhp,2016 (66),68.9,£199,"£16,000",,,
547,3 Series,Diesel,2.0L,Manual,"69,828 miles",4,188 bhp,2018 (68),64.2,£199,"£16,000",,,
548,2 Series,Petrol,1.5L,Manual,"56,625 miles",2,134 bhp,2018 (18),,£199,"£16,000",,,
549,5 Series,Diesel,2.0L,Automatic,"90,668 miles",5,188 bhp,2017 (17),,£199,"£16,000",,,
550,3 Series,Petrol,2.0L,Manual,"31,136 miles",4,181 bhp,2017 (67),48.7,£199,"£16,000",,,
551,2 Series,Diesel,1.5L,Manual,"30,186 miles",5,114 bhp,2017 (17),68.9,£199,"£15,900",,,
552,1 Series,Diesel,1.5L,Automatic,"53,555 miles",5,114 bhp,2017 (17),68.9,£199,"£15,900",,,
553,1 Series,Petrol,1.5L,Manual,"22,449 miles",5,134 bhp,2018 (68),,£199,"£15,900",,,
554,5 Series,Diesel,2.0L,Automatic,"43,531 miles",4,188 bhp,2015 (65),,£199,"£15,900",,,
555,3 Series,Diesel,2.0L,Manual,"56,138 miles",4,148 bhp,2017 (17),64.2,£199,"£15,800",,,
556,3 Series,Diesel,2.0L,Automatic,"56,778 miles",4,161 bhp,2018 (18),,£199,"£15,800",,,
557,1 Series,Petrol,1.5L,Manual,"36,764 miles",5,134 bhp,2018 (68),,£199,"£15,800",,,
558,2 Series,Diesel,1.5L,Manual,"9,692 miles",5,114 bhp,2017 (67),74.3,£199,"£15,800",,,
559,5 Series,Diesel,2.0L,Automatic,"59,717 miles",4,188 bhp,2016 (16),62.8,£199,"£15,800",,,
560,1 Series,Petrol,1.5L,Manual,"46,054 miles",3,134 bhp,2018 (67),,£199,"£15,800",,,
561,1 Series,Diesel,1.5L,Automatic,"51,368 miles",5,114 bhp,2019 (19),,£199,"£15,800",,,
562,2 Series,Petrol,1.5L,Manual,"36,729 miles",5,138 bhp,2018 (68),44.1,£199,"£15,800",,,
563,1 Series,Diesel,1.5L,Automatic,"30,327 miles",5,114 bhp,2018 (67),78.5,£199,"£15,700",,,
564,1 Series,Diesel,2.0L,Manual,"28,858 miles",5,147 bhp,2018 (18),68.9,£199,"£15,700",,,
565,2 Series,Petrol,1.5L,Automatic,"54,660 miles",2,134 bhp,2015 (15),,£199,"£15,700",,,
566,2 Series,Diesel,2.0L,Automatic,"64,801 miles",2,188 bhp,2016 (16),,£199,"£15,700",,,
567,1 Series,Diesel,2.0L,Manual,"23,136 miles",3,147 bhp,2017 (67),65.7,£199,"£15,700",,,
568,2 Series,Diesel,2.0L,Manual,"43,188 miles",5,148 bhp,2016 (16),64.2,£199,"£15,600",,,
569,2 Series,Diesel,2.0L,Manual,"44,527 miles",5,148 bhp,2017 (67),68.9,£199,"£15,600",,,
570,3 Series,Petrol,2.0L,Manual,"39,979 miles",4,181 bhp,2015 (65),,£199,"£15,600",,,
571,1 Series,Diesel,2.0L,Manual,"65,669 miles",5,188 bhp,2017 (67),62.8,£199,"£15,600",,,
572,1 Series,Diesel,2.0L,Manual,"19,139 miles",5,147 bhp,2018 (18),,£199,"£15,600",,,
573,2 Series,Diesel,1.5L,Manual,"41,595 miles",5,114 bhp,2017 (17),74.3,£199,"£15,600",,,
574,2 Series,Petrol,1.5L,Manual,"21,390 miles",2,134 bhp,2017 (67),,£199,"£15,600",,,
575,2 Series,Diesel,1.5L,Manual,"39,427 miles",5,114 bhp,2018 (18),74.3,£199,"£15,500",,,
576,1 Series,Petrol,1.5L,Manual,"22,843 miles",5,134 bhp,2018 (18),56.5,£199,"£15,500",,,
577,2 Series,Petrol,1.5L,Manual,"30,635 miles",2,134 bhp,2016 (16),,£199,"£15,500",,,
578,X1,Diesel,2.0L,Manual,"54,339 miles",5,148 bhp,2017 (17),,£199,"£15,500",,,
579,2 Series,Petrol,2.0L,Manual,"40,976 miles",2,181 bhp,2016 (16),,£199,"£15,500",,,
580,1 Series,Diesel,1.5L,Manual,"26,869 miles",5,114 bhp,2018 (67),78.5,£199,"£15,450",,,
581,5 Series,Diesel,2.0L,Automatic,"33,385 miles",4,188 bhp,2015 (15),68.9,£199,"£15,400",,,
582,1 Series,Petrol,1.5L,Manual,"19,639 miles",5,134 bhp,2017 (67),53.3,£199,"£15,400",,,
583,2 Series,Diesel,2.0L,Manual,"34,255 miles",2,148 bhp,2015 (65),,£199,"£15,300",,,
584,1 Series,Diesel,1.5L,Manual,"16,645 miles",5,114 bhp,2017 (67),72.4,£199,"£15,300",,,
585,1 Series,Petrol,1.5L,Manual,"25,871 miles",5,134 bhp,2018 (18),,£199,"£15,300",,,
586,1 Series,Petrol,1.5L,Manual,"39,180 miles",5,134 bhp,2018 (18),,£199,"£15,300",,,
587,5 Series,Diesel,2.0L,Automatic,"48,683 miles",4,188 bhp,2016 (16),,£199,"£15,250",,,
588,2 Series,Diesel,2.0L,Manual,"22,642 miles",5,148 bhp,2018 (18),68.9,£199,"£15,200",,,
589,2 Series,Diesel,2.0L,Automatic,"63,149 miles",2,188 bhp,2015 (65),,£199,"£15,200",,,
590,1 Series,Petrol,1.5L,Manual,"61,274 miles",5,134 bhp,2018 (18),52.3,£199,"£15,200",,,
591,3 Series,Diesel,2.0L,Manual,"63,168 miles",4,188 bhp,2017 (17),,£199,"£15,200",,,
592,1 Series,Petrol,1.5L,Automatic,"20,212 miles",5,134 bhp,2016 (16),,£199,"£15,100",,,
593,3 Series,Diesel,2.0L,Automatic,"83,191 miles",4,188 bhp,2018 (67),,£199,"£15,100",,,
594,5 Series,Diesel,2.0L,Automatic,"74,011 miles",4,188 bhp,2015 (65),,£199,"£15,100",,,
595,3 Series,Diesel,2.0L,Manual,"71,334 miles",5,188 bhp,2017 (67),,£199,"£15,100",,,
596,1 Series,Petrol,1.5L,Manual,"28,841 miles",5,134 bhp,2018 (18),,£199,"£15,100",,,
597,1 Series,Diesel,2.0L,Manual,"58,522 miles",5,,2018 (68),,£199,"£15,100",Hatchback,,11-10-2022
598,1 Series,Diesel,1.5L,Manual,"10,505 miles",5,114 bhp,2017 (67),78.5,£199,"£15,100",,,
599,2 Series,Petrol,1.5L,Manual,"31,303 miles",5,138 bhp,2019 (19),44.1,£199,"£15,100",,,
600,3 Series,Diesel,2.0L,Manual,"73,569 miles",4,148 bhp,2018 (18),,£199,"£15,000",,,
601,3 Series,Diesel,2.0L,Manual,"38,106 miles",4,141 bhp,2015 (15),,£199,"£15,000",,,
602,2 Series,Petrol,1.5L,Manual,"40,484 miles",5,138 bhp,2018 (18),44.1,£199,"£15,000",,,
603,1 Series,Petrol,2.0L,Automatic,"40,087 miles",3,181 bhp,2018 (18),,£199,"£15,000",,,
604,3 Series,Diesel,2.0L,Automatic,"68,303 miles",4,161 bhp,2016 (66),,£199,"£14,900",,,
605,2 Series,Petrol,1.5L,Manual,"44,966 miles",2,134 bhp,2015 (65),,£199,"£14,900",,,
606,3 Series,Diesel,2.0L,Manual,"37,824 miles",4,188 bhp,2016 (66),,£199,"£14,900",,,
607,1 Series,Petrol,1.5L,Manual,"29,610 miles",5,134 bhp,2018 (67),,£199,"£14,900",,,
608,3 Series,Petrol,2.0L,Manual,"28,359 miles",4,181 bhp,2015 (65),,£199,"£14,900",,,
609,3 Series,Diesel,2.0L,Automatic,"49,096 miles",4,188 bhp,2016 (65),,£199,"£14,900",,,
610,1 Series,Petrol,1.5L,Automatic,"30,044 miles",5,134 bhp,2016 (66),,£199,"£14,900",,,
611,3 Series,Petrol,2.0L,Manual,"73,069 miles",4,181 bhp,2016 (16),47.9,£199,"£14,850",,,
612,1 Series,Diesel,2.0L,Manual,"35,161 miles",3,147 bhp,2016 (66),,£199,"£14,800",,,
613,3 Series,Diesel,2.0L,Automatic,"68,202 miles",4,161 bhp,2017 (17),,£199,"£14,800",,,
614,1 Series,Diesel,2.0L,Manual,"52,127 miles",3,188 bhp,2017 (17),,£199,"£14,700",,,
615,3 Series,Diesel,2.0L,Automatic,"71,332 miles",4,161 bhp,2017 (17),,£199,"£14,700",,,
616,1 Series,Diesel,1.5L,Manual,"9,828 miles",5,114 bhp,2018 (68),,£199,"£14,700",,,
617,3 Series,Diesel,2.0L,Automatic,"72,573 miles",5,188 bhp,2018 (18),62.8,£199,"£14,700",,,
618,1 Series,Petrol,1.5L,Manual,"35,078 miles",3,134 bhp,2017 (17),,£199,"£14,600",,,
619,3 Series,Diesel,2.0L,Manual,"35,808 miles",4,114 bhp,2017 (67),,£199,"£14,600",,,
620,2 Series,Diesel,2.0L,Automatic,"40,384 miles",5,148 bhp,2015 (65),68.9,£199,"£14,600",,,
621,1 Series,Diesel,1.5L,Manual,"36,287 miles",5,114 bhp,2018 (68),,£199,"£14,600",,,
622,2 Series,Petrol,1.5L,Manual,"45,311 miles",5,138 bhp,2018 (18),44.1,£199,"£14,550",,,
623,1 Series,Petrol,1.5L,Manual,"47,291 miles",5,134 bhp,2018 (18),,£199,"£14,500",,,
624,2 Series,Petrol,1.5L,Manual,"30,077 miles",2,134 bhp,2015 (65),50.4,£199,"£14,500",,,
625,2 Series,Diesel,2.0L,Manual,"30,760 miles",2,148 bhp,2016 (66),,£199,"£14,500",,,
626,3 Series,Diesel,2.0L,Manual,"46,834 miles",4,161 bhp,2017 (67),,£199,"£14,500",,,
627,3 Series,Diesel,2.0L,Manual,"68,742 miles",4,188 bhp,2016 (16),,£199,"£14,450",,,
628,1 Series,Diesel,2.0L,Automatic,"69,567 miles",3,147 bhp,2016 (66),,£199,"£14,400",,,
629,1 Series,Diesel,1.5L,Manual,"57,409 miles",5,114 bhp,2017 (17),,£199,"£14,400",,,
630,2 Series,Diesel,2.0L,Automatic,"43,545 miles",2,148 bhp,2017 (17),,£199,"£14,400",,,
631,3 Series,Petrol,2.0L,Manual,"44,261 miles",4,181 bhp,2017 (17),,£199,"£14,400",,,
632,3 Series,Diesel,2.0L,Automatic,"62,210 miles",4,161 bhp,2016 (16),,£199,"£14,300",,,
633,2 Series,Diesel,2.0L,Automatic,"45,519 miles",5,148 bhp,2015 (65),68.9,£199,"£14,300",,,
634,1 Series,Diesel,1.5L,Manual,"27,676 miles",5,114 bhp,2016 (66),,£199,"£14,300",,,
635,1 Series,Diesel,2.0L,Automatic,"72,711 miles",5,147 bhp,2018 (18),,£199,"£14,300",,,
636,1 Series,Diesel,1.5L,Manual,"47,934 miles",5,114 bhp,2018 (18),53.3,£199,"£14,300",,,
637,1 Series,Diesel,1.5L,Manual,"43,651 miles",5,114 bhp,2019 (19),,£199,"£14,200",,,
638,3 Series,Diesel,2.0L,Manual,"61,614 miles",4,161 bhp,2018 (18),72.4,£199,"£14,100",,,
639,1 Series,Petrol,1.5L,Manual,"21,563 miles",5,134 bhp,2016 (66),,£199,"£14,100",,,
640,2 Series,Petrol,1.5L,Manual,"33,904 miles",2,134 bhp,2016 (16),52.3,£199,"£14,100",,,
641,5 Series,Diesel,2.0L,Manual,"67,067 miles",4,188 bhp,2015 (65),60.1,£199,"£14,100",,,
642,1 Series,Petrol,1.5L,Manual,"23,008 miles",5,134 bhp,2017 (17),,£199,"£14,100",,,
643,1 Series,Diesel,1.5L,Manual,"32,770 miles",5,114 bhp,2018 (68),,£199,"£14,100",,,
644,1 Series,Diesel,1.5L,Manual,"18,893 miles",5,114 bhp,2017 (17),,£199,"£14,100",,,
645,3 Series,Diesel,2.0L,Manual,"41,271 miles",4,148 bhp,2016 (65),,£199,"£14,050",,,
646,1 Series,Diesel,1.5L,Manual,"52,493 miles",5,114 bhp,2018 (68),,£199,"£14,000",,,
647,1 Series,Diesel,1.5L,Manual,"38,976 miles",5,114 bhp,2017 (67),,£199,"£14,000",,,
648,1 Series,Diesel,1.5L,Automatic,"63,168 miles",5,114 bhp,2016 (16),68.9,£199,"£14,000",,,
649,1 Series,Diesel,1.5L,Manual,"30,743 miles",5,114 bhp,2017 (67),83.1,£199,"£14,000",,,
650,1 Series,Petrol,1.5L,Manual,"24,555 miles",5,134 bhp,2017 (67),56.5,£199,"£14,000",,,
651,4 Series,Diesel,2.0L,Automatic,"87,712 miles",2,188 bhp,2016 (66),,£199,"£13,900",,,
652,3 Series,Diesel,2.0L,Manual,"28,603 miles",4,141 bhp,2014 (64),,£199,"£13,900",,,
653,2 Series,Diesel,2.0L,Automatic,"56,822 miles",5,148 bhp,2016 (16),68.9,£199,"£13,900",,,
654,3 Series,Diesel,2.0L,Manual,"57,690 miles",4,188 bhp,2016 (66),,£199,"£13,900",,,
655,2 Series,Diesel,2.0L,Manual,"41,254 miles",5,148 bhp,2016 (16),68.9,£199,"£13,800",,,
656,3 Series,Petrol,1.5L,Manual,"40,027 miles",4,134 bhp,2016 (66),,£199,"£13,800",,,
657,1 Series,Diesel,1.5L,Manual,"52,139 miles",5,114 bhp,2016 (66),,£199,"£13,800",,,
658,3 Series,Petrol,1.5L,Manual,"40,699 miles",4,134 bhp,2016 (16),,£199,"£13,800",,,
659,3 Series,Diesel,2.0L,Manual,"60,503 miles",4,161 bhp,2016 (66),,£199,"£13,700",,,
660,2 Series,Diesel,2.0L,Automatic,"57,324 miles",2,148 bhp,2015 (65),68.9,£199,"£13,500",,,
661,2 Series,Diesel,1.5L,Manual,"63,962 miles",5,114 bhp,2017 (17),74.3,£199,"£13,500",,,
662,3 Series,Diesel,2.0L,Manual,"51,272 miles",4,114 bhp,2017 (67),,£199,"£13,400",,,
663,1 Series,Diesel,2.0L,Automatic,"76,449 miles",5,188 bhp,2016 (16),65.7,£199,"£13,400",,,
664,1 Series,Diesel,1.5L,Manual,"54,230 miles",5,114 bhp,2018 (68),,£199,"£13,400",,,
665,1 Series,Diesel,1.5L,Manual,"32,331 miles",5,114 bhp,2017 (67),78.5,£199,"£13,300",,,
666,2 Series,Diesel,2.0L,Manual,"46,206 miles",2,148 bhp,2016 (16),,£199,"£13,300",,,
667,3 Series,Diesel,2.0L,Manual,"51,038 miles",4,114 bhp,2016 (66),,£199,"£13,300",,,
668,3 Series,Diesel,2.0L,Automatic,"67,559 miles",4,188 bhp,2016 (16),,£199,"£13,200",,,
669,2 Series,Diesel,2.0L,Manual,"34,631 miles",5,148 bhp,2015 (15),68.9,£199,"£13,200",,,
670,3 Series,Diesel,2.0L,Manual,"67,920 miles",4,181 bhp,2014 (64),57.7,£199,"£13,100",,,
671,3 Series,Diesel,2.0L,Manual,"79,954 miles",5,114 bhp,2018 (67),64.2,£199,"£13,100",,,
672,3 Series,Diesel,2.0L,Manual,"61,829 miles",4,114 bhp,2016 (66),,£199,"£13,100",,,
673,1 Series,Diesel,1.5L,Manual,"31,387 miles",5,114 bhp,2017 (17),,£199,"£13,100",,,
674,1 Series,Diesel,1.5L,Manual,"43,082 miles",5,114 bhp,2018 (68),,£199,"£13,000",,,
675,3 Series,Diesel,2.0L,Manual,"60,561 miles",4,161 bhp,2016 (16),,£199,"£13,000",,,
676,1 Series,Petrol,1.5L,Manual,"24,669 miles",5,134 bhp,2015 (65),,£199,"£13,000",,,
677,3 Series,Diesel,2.0L,Automatic,"80,876 miles",4,161 bhp,2015 (65),74.3,£199,"£12,900",,,
678,2 Series,Diesel,2.0L,Manual,"48,893 miles",5,148 bhp,2015 (65),68.9,£199,"£12,800",,,
679,1 Series,Diesel,1.5L,Manual,"64,139 miles",3,114 bhp,2016 (66),,£199,"£12,600",,,
680,3 Series,Diesel,2.0L,Automatic,"57,936 miles",4,181 bhp,2014 (64),,£199,"£12,500",,,
681,1 Series,Diesel,1.5L,Manual,"59,223 miles",5,114 bhp,2017 (67),78.5,£199,"£12,400",,,
682,2 Series,Diesel,1.5L,Manual,"69,949 miles",5,114 bhp,2017 (17),74.3,£199,"£12,400",,,
683,2 Series,Diesel,1.5L,Manual,"53,544 miles",5,114 bhp,2017 (17),74.3,£199,"£12,350",,,
684,2 Series,Diesel,2.0L,Manual,"70,434 miles",5,148 bhp,2017 (17),68.9,£199,"£12,300",,,
685,1 Series,Diesel,2.0L,Manual,"50,670 miles",5,147 bhp,2015 (15),68.9,£199,"£12,300",,,
686,2 Series,Petrol,1.5L,Manual,"66,488 miles",2,134 bhp,2015 (15),,£199,"£12,200",,,
687,1 Series,Diesel,2.0L,Manual,"30,410 miles",5,114 bhp,2015 (15),,£199,"£11,700",,,
688,1 Series,Diesel,1.5L,Manual,"55,070 miles",5,114 bhp,2015 (65),,£199,"£11,700",,,
689,2 Series,Diesel,2.0L,Manual,"56,596 miles",5,148 bhp,2016 (16),68.9,£199,"£11,650",,,
690,1 Series,Diesel,1.5L,Manual,"57,552 miles",5,114 bhp,2015 (65),,£199,"£11,300",,,
691,1 Series,Diesel,1.5L,Manual,"48,177 miles",5,114 bhp,2015 (65),,£199,"£11,300",,,
692,3 Series,Diesel,2.0L,Manual,"82,364 miles",5,114 bhp,2016 (16),,£199,"£11,300",,,
693,1 Series,Petrol,1.5L,Manual,"59,313 miles",5,134 bhp,2015 (65),,£199,"£11,300",,,
694,1 Series,Diesel,1.5L,Manual,"49,488 miles",5,114 bhp,2015 (65),,£199,"£11,200",,,
695,1 Series,Diesel,2.0L,Automatic,"61,356 miles",5,114 bhp,2014 (64),64.2,£199,"£10,600",,,
696,2 Series,Diesel,1.5L,Manual,"73,605 miles",5,114 bhp,2016 (65),74.3,£199,"£10,400",,,
