,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
14,A4,Diesel,2.0L,Automatic,"11,611 miles",5.0,161 bhp,2019 (69),49.6,Estate,110 g/km,DAYTONA GREY,"£29,700"
15,Q7,Diesel,3.0L,Automatic,"71,243 miles",5.0,268 bhp,2015 (65),47.9,Estate,153 g/km,PURE WHITE,"£29,600"
16,Q5,Diesel,2.0L,Automatic,"44,578 miles",5.0,188 bhp,2018 (18),55.4,Estate,133 g/km,GREY,"£29,500"
17,A5,Petrol,2.0L,Automatic,"15,275 miles",2.0,248 bhp,2018 (68),43.5,Convertible,149 g/km,GREY,"£29,200"
18,Q5,Diesel,2.0L,Automatic,"21,186 miles",5.0,188 bhp,2017 (17),55.4,Estate,133 g/km,SILVER,"£29,000"
19,Q5,Diesel,2.0L,Automatic,"26,591 miles",5.0,188 bhp,2018 (18),56.5,Estate,132 g/km,IBIS WHITE,"£29,000"
20,Q5,Diesel,2.0L,Automatic,"60,890 miles",5.0,188 bhp,2018 (18),55.4,Estate,133 g/km,BLACK,"£29,000"
21,A3,Petrol,1.5L,Automatic,"6,264 miles",4.0,148 bhp,2020 (70),47.9,Saloon,112 g/km,MYTHOS BLACK,"£28,750"
22,Q5,Diesel,2.0L,Automatic,"27,574 miles",5.0,188 bhp,2017 (17),55.4,Estate,133 g/km,DAYTONA GREY,"£28,600"
23,Q5,Diesel,2.0L,Automatic,"25,555 miles",5.0,188 bhp,2017 (17),55.4,Estate,133 g/km,BLUE,"£28,500"
24,Q5,Diesel,2.0L,Automatic,"23,505 miles",5.0,188 bhp,2018 (18),56.5,Estate,132 g/km,BLACK,"£28,500"
25,Q5,Diesel,2.0L,Automatic,"37,409 miles",5.0,188 bhp,2017 (17),55.4,Estate,133 g/km,FLORET SILVER,"£28,200"
26,A5,Petrol,2.0L,Automatic,"16,562 miles",5.0,249 bhp,2018 (18),45.6,Hatchback,141 g/km,GREY,"£28,100"
27,A7,Diesel,3.0L,Automatic,"30,862 miles",5.0,268 bhp,2017 (67),52.3,Hatchback,142 g/km,BLUE,"£28,000"
28,Q5,Diesel,2.0L,Automatic,"49,845 miles",5.0,188 bhp,2017 (17),55.4,Estate,133 g/km,MYTHOS BLACK,"£27,700"
29,Q5,Petrol,2.0L,Automatic,"37,101 miles",5.0,248 bhp,2017 (17),40.9,Estate,157 g/km,MANHATTAN GREY,"£27,600"
30,Q5,Diesel,2.0L,Automatic,"35,166 miles",5.0,188 bhp,2017 (67),56.5,Estate,132 g/km,BLACK,"£27,600"
31,S3,Petrol,2.0L,Automatic,"37,987 miles",4.0,306 bhp,2018 (18),43.5,Saloon,151 g/km,BLUE,"£27,500"
32,A6,Diesel,2.0L,Automatic,"32,243 miles",5.0,201 bhp,2019 (19),47.9,Estate,123 g/km,Vesuvius grey metallic,"£27,400"
33,A5,Petrol,2.0L,Automatic,"18,415 miles",2.0,188 bhp,2019 (19),37.7,Convertible,140 g/km,GREY,"£27,200"
34,Q5,Diesel,2.0L,Automatic,"27,652 miles",5.0,188 bhp,2018 (67),56.5,Estate,132 g/km,BLACK,"£27,200"
35,A5,Petrol,2.0L,Automatic,"29,300 miles",5.0,249 bhp,2017 (67),45.6,Hatchback,141 g/km,DAYTONA GREY,"£26,500"
36,A5,Petrol,2.0L,Automatic,"20,348 miles",5.0,188 bhp,2019 (19),39.8,Hatchback,136 g/km,WHITE,"£26,500"
37,A6,Diesel,2.0L,Automatic,"26,049 miles",5.0,188 bhp,2017 (67),58.9,Estate,124 g/km,TORNADO GREY,"£26,400"
38,A6,Diesel,2.0L,Automatic,"45,331 miles",5.0,188 bhp,2018 (18),58.9,Estate,124 g/km,TORNADO GREY,"£26,300"
39,Q5,Diesel,2.0L,Automatic,"40,965 miles",5.0,188 bhp,2017 (67),56.5,Estate,132 g/km,WHITE,"£26,200"
40,Q5,Diesel,2.0L,Automatic,"57,867 miles",5.0,188 bhp,2018 (68),56.5,Estate,132 g/km,GREY,"£26,000"
41,Q5,Diesel,2.0L,Automatic,"52,443 miles",5.0,188 bhp,2017 (67),56.5,Estate,132 g/km,SILVER,"£25,950"
42,S3,Petrol,2.0L,Automatic,"26,852 miles",5.0,306 bhp,2017 (67),43.5,Hatchback,149 g/km,GREY,"£25,900"
43,A6,Diesel,2.0L,Automatic,"27,532 miles",5.0,188 bhp,2018 (68),61.4,Estate,119 g/km,MYTHOS BLACK,"£25,700"
44,Q3,Petrol,1.4L,Manual,"33,605 miles",5.0,148 bhp,2018 (68),45.6,Estate,143 g/km,WHITE,"£25,600"
45,A6,Diesel,2.0L,Automatic,"43,754 miles",5.0,188 bhp,2017 (67),58.9,Estate,124 g/km,DAYTONA GREY,"£25,600"
46,A6,Diesel,2.0L,Automatic,"37,521 miles",5.0,201 bhp,2019 (19),47.9,Estate,123 g/km,GREY,"£25,500"
47,Q5,Petrol,2.0L,Automatic,"40,924 miles",5.0,227 bhp,2016 (16),37.7,Estate,174 g/km,BLUE,"£25,400"
48,A3,Petrol,1.5L,Automatic,"16,755 miles",5.0,148 bhp,2019 (19),41.5,Hatchback,117 g/km,GREY,"£25,400"
49,A4,Petrol,2.0L,Automatic,"40,017 miles",5.0,188 bhp,2018 (18),48.7,Estate,131 g/km,GREY,"£25,300"
50,Q3,Petrol,1.4L,Automatic,"26,841 miles",5.0,148 bhp,2018 (18),45.6,Estate,143 g/km,WHITE,"£25,000"
51,Q5,Diesel,2.0L,Automatic,"64,538 miles",5.0,188 bhp,2017 (17),55.4,Estate,133 g/km,MANHATTAN GREY,"£25,000"
52,A4,Diesel,2.0L,Automatic,"45,517 miles",4.0,161 bhp,2019 (69),50.4,Saloon,109 g/km,GREY,"£25,000"
