,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
127,Juke,Petrol,1.6L,Manual,"41,201 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,BLUE,"£12,400"
128,Micra,Petrol,1.0L,Manual,"4,420 miles",5,115 bhp,2020 (20),47.9,Hatchback,114 g/km,BLACK,"£12,400"
129,Juke,Petrol,1.6L,Manual,"36,505 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,SILVER,"£12,300"
130,Juke,Diesel,1.5L,Manual,"28,844 miles",5,110 bhp,2018 (18),70.6,Hatchback,104 g/km,BLACK,"£12,300"
131,Juke,Petrol,1.6L,Manual,"42,317 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,GREY,"£12,300"
132,Juke,Petrol,1.6L,Manual,"36,045 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,BLUE,"£12,200"
133,Juke,Petrol,1.2L,Manual,"24,299 miles",5,115 bhp,2018 (68),49.6,Hatchback,128 g/km,WHITE,"£12,100"
134,Juke,Petrol,1.6L,Manual,"21,614 miles",5,111 bhp,2018 (68),34.5,Hatchback,161 g/km,BLUE,"£12,000"
135,Juke,Diesel,1.5L,Manual,"37,440 miles",5,110 bhp,2018 (67),70.6,Hatchback,104 g/km,GREY,"£11,900"
136,Juke,Diesel,1.5L,Manual,"34,588 miles",5,110 bhp,2018 (18),70.6,Hatchback,104 g/km,RED,"£11,800"
137,Juke,Petrol,1.2L,Manual,"16,887 miles",5,115 bhp,2017 (17),49.6,Hatchback,128 g/km,BLACK,"£11,800"
138,Juke,Diesel,1.5L,Manual,"37,400 miles",5,110 bhp,2018 (18),70.6,Hatchback,104 g/km,BLUE,"£11,612"
139,Juke,Petrol,1.6L,Manual,"46,557 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,GREY,"£11,600"
140,Juke,Diesel,1.5L,Manual,"15,621 miles",5,110 bhp,2018 (18),70.6,Hatchback,104 g/km,BLUE,"£11,500"
141,Juke,Petrol,1.6L,Manual,"40,393 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,GREY,"£11,500"
142,Juke,Petrol,1.2L,Manual,"24,340 miles",5,115 bhp,2017 (17),49.6,Hatchback,128 g/km,YELLOW,"£11,400"
143,Juke,Petrol,1.6L,Manual,"34,482 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,RED,"£11,400"
144,Juke,Petrol,1.6L,Manual,"31,578 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,BLUE,"£11,000"
145,Juke,Petrol,1.6L,Manual,"43,657 miles",5,111 bhp,2019 (68),34.5,Hatchback,161 g/km,SILVER,"£11,000"
146,Juke,Petrol,1.2L,Manual,"31,839 miles",5,115 bhp,2017 (17),49.6,Hatchback,128 g/km,BLUE,"£10,900"
147,Qashqai,Petrol,1.2L,Manual,"63,545 miles",5,113 bhp,2015 (15),50.4,Hatchback,129 g/km,RED,"£10,700"
148,Juke,Diesel,1.5L,Manual,"53,540 miles",5,110 bhp,2018 (18),70.6,Hatchback,104 g/km,GREY,"£10,500"
149,Juke,Diesel,1.5L,Manual,"35,797 miles",5,110 bhp,2018 (18),70.6,Hatchback,104 g/km,BLACK,"£10,500"
150,Juke,Petrol,1.2L,Manual,"50,717 miles",5,115 bhp,2017 (17),49.6,Hatchback,128 g/km,GREY,"£10,300"
151,Juke,Petrol,1.2L,Manual,"21,580 miles",5,115 bhp,2017 (17),49.6,Hatchback,128 g/km,RED,"£9,900"
152,Juke,Diesel,1.5L,Manual,"88,238 miles",5,110 bhp,2017 (67),70.6,Hatchback,104 g/km,GREY,"£9,500"
153,Juke,Petrol,1.2L,Manual,"47,056 miles",5,115 bhp,2016 (66),49.6,Hatchback,128 g/km,YELLOW,"£9,000"
154,Juke,Diesel,1.5L,Manual,"52,642 miles",5,110 bhp,2015 (65),70.6,Hatchback,104 g/km,BLACK,"£8,600"
155,Juke,Diesel,1.5L,Manual,"71,198 miles",5,110 bhp,2016 (66),70.6,Hatchback,104 g/km,WHITE,"£8,300"
156,Juke,Petrol,1.2L,Manual,"60,566 miles",5,115 bhp,2015 (15),50.4,Hatchback,129 g/km,BLACK,"£7,800"
