,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
242,Polo,Petrol,1.0L,Manual,"28,977 miles",5,94 bhp,2018 (67),62.8,Hatchback,103 g/km,BLACK,"£13,000"
243,Polo,Petrol,1.0L,Manual,"23,760 miles",5,94 bhp,2018 (18),64.2,Hatchback,101 g/km,GREY,"£13,000"
244,Passat,Diesel,2.0L,Manual,"65,004 miles",5,148 bhp,2016 (16),67.3,Estate,110 g/km,Tungsten Silver Metallic,"£12,900"
245,Tiguan,Diesel,2.0L,Automatic,"68,519 miles",5,138 bhp,2015 (15),47.1,Estate,158 g/km,GREY,"£12,800"
246,Polo,Petrol,1.0L,Manual,"38,832 miles",5,94 bhp,2018 (68),52.3,Hatchback,104 g/km,BLACK,"£12,700"
247,Passat,Diesel,1.6L,Manual,"62,103 miles",5,118 bhp,2017 (17),76.4,Estate,95 g/km,BLACK,"£12,600"
248,Polo,Petrol,1.0L,Manual,"16,725 miles",5,74 bhp,2018 (68),60.1,Hatchback,108 g/km,SILVER,"£12,600"
249,Polo,Petrol,1.0L,Manual,"22,946 miles",5,94 bhp,2018 (18),62.8,Hatchback,103 g/km,DEEP BLACK PEARL,"£12,500"
250,Polo,Petrol,1.2L,Manual,"22,372 miles",5,89 bhp,2017 (67),60.1,Hatchback,107 g/km,SILVER,"£12,500"
251,Polo,Petrol,1.0L,Manual,"12,843 miles",5,74 bhp,2018 (68),60.1,Hatchback,108 g/km,SILVER,"£12,500"
252,Polo,Petrol,1.0L,Manual,"28,922 miles",5,94 bhp,2018 (67),64.2,Hatchback,101 g/km,BLACK,"£12,500"
253,Passat,Diesel,2.0L,Manual,"73,381 miles",4,148 bhp,2017 (67),68.9,Saloon,109 g/km,DEEP BLACK PEARL,"£12,500"
254,Passat,Diesel,1.6L,Manual,"54,684 miles",4,118 bhp,2015 (65),67.3,Saloon,109 g/km,PURE WHITE,"£12,500"
255,Polo,Petrol,1.0L,Manual,"15,048 miles",5,74 bhp,2018 (18),60.1,Hatchback,108 g/km,BLACK,"£12,500"
256,Passat,Diesel,2.0L,Manual,"41,518 miles",4,148 bhp,2015 (65),68.9,Saloon,109 g/km,DEEP BLACK PEARL,"£12,400"
257,Polo,Petrol,1.2L,Manual,"22,916 miles",5,89 bhp,2017 (67),60.1,Hatchback,107 g/km,GREY,"£12,400"
258,Golf,Petrol,1.4L,Automatic,"35,605 miles",5,148 bhp,2015 (15),60.1,Hatchback,112 g/km,BLACK,"£12,400"
259,Passat,Diesel,1.6L,Manual,"59,752 miles",4,118 bhp,2017 (67),76.4,Saloon,95 g/km,BLUE,"£12,300"
260,Polo,Petrol,1.0L,Manual,"25,445 miles",5,74 bhp,2018 (68),60.1,Hatchback,108 g/km,GREY,"£12,300"
261,Jetta,Diesel,1.6L,Automatic,"49,085 miles",5,109 bhp,2015 (65),72.4,Estate,102 g/km,GREY,"£12,300"
262,Polo,Petrol,1.2L,Manual,"20,882 miles",5,89 bhp,2017 (67),60.1,Hatchback,107 g/km,WHITE,"£12,200"
263,Passat,Diesel,1.6L,Manual,"66,708 miles",5,118 bhp,2017 (66),68.9,Estate,107 g/km,SILVER,"£12,150"
264,Tiguan,Diesel,2.0L,Automatic,"71,830 miles",5,138 bhp,2015 (15),47.1,Estate,158 g/km,DEEP BLACK PEARL,"£12,100"
265,Polo,Petrol,1.0L,Manual,"30,367 miles",5,94 bhp,2018 (68),64.2,Hatchback,101 g/km,WHITE,"£12,100"
266,Golf,Diesel,1.6L,Manual,"53,811 miles",5,114 bhp,2017 (67),67.3,Estate,109 g/km,BLACK,"£12,000"
