,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,CO2,Colour,Price
456,C Class,Diesel,2.1L,Automatic,"52,435 miles",4,204 bhp,2015 (65),64.2,Saloon,109 g/km,WHITE,"£16,900"
457,Gla Class,Diesel,2.1L,Automatic,"49,485 miles",5,136 bhp,2015 (15),62.8,Estate,119 g/km,BLACK,"£16,800"
458,Cla Class,Diesel,2.1L,Manual,"68,873 miles",4,134 bhp,2016 (65),67.3,Saloon,109 g/km,WHITE,"£16,800"
459,A Class,Diesel,2.1L,Automatic,"34,315 miles",5,134 bhp,2016 (66),70.6,Hatchback,103 g/km,GREY,"£16,800"
460,C Class,Diesel,2.1L,Automatic,"78,009 miles",4,170 bhp,2015 (65),64.2,Saloon,113 g/km,WHITE,"£16,800"
461,A Class,Diesel,2.1L,Automatic,"30,765 miles",5,134 bhp,2016 (16),68.9,Hatchback,108 g/km,SOUTH SEAS BLUE,"£16,800"
462,A Class,Diesel,2.1L,Automatic,"73,561 miles",5,134 bhp,2017 (67),68.9,Hatchback,108 g/km,SILVER,"£16,800"
463,A Class,Diesel,1.5L,Automatic,"36,657 miles",5,107 bhp,2017 (67),74.3,Hatchback,101 g/km,BLUE,"£16,800"
464,A Class,Diesel,2.1L,Automatic,"58,185 miles",5,134 bhp,2016 (65),68.9,Hatchback,108 g/km,WHITE,"£16,750"
465,SLK,Diesel,2.1L,Automatic,"26,792 miles",2,201 bhp,2015 (65),70.6,Convertible,132 g/km,WHITE,"£16,750"
466,A Class,Diesel,2.1L,Automatic,"71,707 miles",5,134 bhp,2017 (66),68.9,Hatchback,108 g/km,BLACK,"£16,600"
467,E Class,Diesel,2.1L,Automatic,"57,422 miles",2,174 bhp,2016 (66),58.9,Coupe,128 g/km,BLACK,"£16,600"
468,C Class,Diesel,1.6L,Automatic,"54,664 miles",5,136 bhp,2016 (66),64.2,Estate,114 g/km,BLUE,"£16,600"
469,A Class,Diesel,1.5L,Automatic,"31,226 miles",5,107 bhp,2017 (17),74.3,Hatchback,101 g/km,GREY,"£16,600"
470,A Class,Diesel,2.1L,Automatic,"80,414 miles",5,174 bhp,2018 (18),67.3,Hatchback,109 g/km,BLACK,"£16,600"
471,A Class,Diesel,2.1L,Manual,"41,160 miles",5,134 bhp,2017 (17),62.8,Hatchback,116 g/km,BLACK,"£16,600"
472,Gla Class,Diesel,2.1L,Automatic,"50,290 miles",5,,2015 (15),,SUV,108 g/km,Black,"£16,500"
473,A Class,Diesel,1.5L,Manual,"44,578 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,BLACK,"£16,500"
474,C Class,Diesel,2.1L,Automatic,"78,913 miles",5,170 bhp,2017 (17),60.1,Estate,129 g/km,SILVER,"£16,500"
475,Cla Class,Diesel,2.1L,Manual,"35,959 miles",4,137 bhp,2015 (65),64.2,Saloon,114 g/km,WHITE,"£16,500"
476,A Class,Diesel,1.5L,Manual,"29,963 miles",5,107 bhp,2016 (66),68.9,Hatchback,107 g/km,RED,"£16,500"
477,A Class,Diesel,1.5L,Manual,"26,555 miles",5,107 bhp,2017 (66),68.9,Hatchback,107 g/km,BLACK,"£16,500"
478,A Class,Diesel,1.5L,Manual,"23,078 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,WHITE,"£16,500"
479,C Class,Diesel,2.1L,Manual,"48,569 miles",5,170 bhp,2016 (16),65.7,Estate,108 g/km,WHITE,"£16,500"
480,A Class,Diesel,1.5L,Manual,"38,169 miles",5,107 bhp,2017 (17),68.9,Hatchback,107 g/km,RED,"£16,500"
481,E Class,Diesel,2.1L,Automatic,"59,537 miles",2,170 bhp,2015 (15),57.7,Convertible,130 g/km,GREY,"£16,500"
482,C Class,Diesel,1.6L,Automatic,"69,194 miles",4,136 bhp,2016 (66),65.7,Saloon,111 g/km,WHITE,"£16,450"
483,A Class,Diesel,2.1L,Automatic,"35,214 miles",5,134 bhp,2016 (66),70.6,Hatchback,103 g/km,WHITE,"£16,400"
